INFO: BenchmarkParams{sampleLimit=null, threads=16, delayMs=300, gpuConfig='4090x2', modelName='qwen2.5-coder:14b-instruct-gptq4', modelUrl='http://195.209.214.245:7777/v1/completions', apiKey='null', contextSize=4096, tokenizer=D:\work\git\model-speed-benchmark\build\resources\main\tokenizer\Qwen2.5-Coder-14B.json, dataset=D:\work\git\model-speed-benchmark\build\resources\main\dataset\repoeval\line_level.java.test.jsonl, mock=false}

timeMs, contextTokensSize, responseCharsSize
2027, 400, 0
4970, 454, 36
4986, 443, 31
4986, 1419, 31
5002, 1506, 29
5020, 3183, 34
5020, 496, 26
4892, 718, 62
4923, 782, 79
5066, 1040, 63
4624, 2990, 55
2456, 249, 94
5142, 3895, 74
5156, 1139, 75
5207, 665, 124
5247, 587, 97
5247, 2982, 129
1341, 796, 0
5122, 2291, 28
5386, 411, 30
5232, 2954, 33
5511, 696, 47
3721, 879, 30
5332, 759, 34
5468, 3055, 49
4943, 2612, 52
4989, 295, 62
5222, 2075, 104
5531, 1619, 73
5486, 2998, 69
5563, 783, 63
5417, 2358, 81
5542, 646, 140
5749, 1665, 114
4196, 549, 5
4143, 443, 27
4267, 726, 46
4191, 1423, 41
4189, 459, 43
4204, 687, 50
3894, 3276, 46
3910, 71, 44
4341, 579, 62
4220, 602, 41
4308, 1719, 62
4256, 500, 73
4348, 3978, 121
4191, 205, 75
4328, 1559, 123
4165, 3949, 101
1709, 750, 0
3904, 870, 5
4269, 247, 5
2273, 1320, 17
4296, 2433, 25
4416, 593, 50
3985, 1876, 46
4295, 1106, 41
3752, 1054, 67
4294, 2066, 53
4449, 1383, 70
4598, 2348, 88
4338, 284, 83
4452, 1305, 79
3837, 975, 79
4122, 1577, 59
4653, 1852, 115
4129, 548, 35
4485, 3213, 30
4397, 862, 27
4169, 2202, 48
4455, 1815, 58
4350, 535, 59
4441, 817, 45
4579, 813, 42
4623, 1054, 56
4686, 184, 55
4671, 861, 67
4313, 1131, 39
4653, 1571, 89
4622, 257, 132
4656, 3855, 46
4832, 2437, 197
3291, 533, 0
3820, 2278, 32
4067, 789, 41
4025, 255, 31
3714, 773, 48
3667, 669, 46
4041, 926, 44
4007, 980, 32
3746, 1755, 56
4034, 742, 54
3215, 301, 78
3925, 586, 117
3834, 2631, 124
4192, 3233, 78
4150, 1501, 102
3914, 1597, 111
3242, 435, 20
3430, 364, 39
3226, 562, 34
3408, 814, 56
3303, 229, 59
3259, 3099, 92
3270, 305, 51
3228, 1644, 73
3118, 1047, 106
3469, 1538, 79
3515, 899, 56
3499, 243, 93
3349, 1186, 84
3544, 1659, 117
3628, 166, 102
3684, 2094, 137
3143, 992, 41
3705, 272, 39
3525, 322, 36
3447, 1761, 18
3563, 721, 31
3656, 360, 43
3593, 90, 50
3621, 1267, 46
3684, 3642, 62
3650, 408, 56
3667, 1642, 44
3477, 1177, 38
3043, 764, 52
3577, 1177, 73
3477, 1096, 88
3310, 1956, 159
1406, 252, 0
2373, 134, 5
3039, 760, 36
3131, 751, 38
3055, 297, 44
3192, 447, 36
3150, 1765, 28
3163, 371, 58
2978, 2166, 74
3256, 486, 90
3180, 945, 37
1465, 1821, 94
3306, 266, 42
2935, 365, 99
3306, 393, 110
3305, 2060, 120
3419, 1654, 168
3235, 937, 0
4752, 366, 53
4688, 1565, 44
4922, 490, 42
4922, 297, 44
4860, 3881, 24
4860, 125, 56
1109, 510, 47
4767, 542, 37
4917, 3974, 55
4536, 3487, 45
5088, 758, 62
4083, 794, 48
4987, 947, 53
4241, 1995, 83
4946, 2310, 56
4811, 1204, 102
3790, 946, 5
3761, 3878, 7
3840, 693, 39
3580, 441, 26
3552, 672, 47
3522, 729, 44
3888, 503, 36
3920, 1824, 42
3859, 233, 58
3901, 3362, 20
3552, 791, 44
3613, 440, 57
3950, 879, 45
3935, 497, 62
4055, 962, 67
4046, 2247, 117
1762, 2491, 0
4075, 193, 5
4308, 615, 36
4183, 2584, 43
4168, 918, 20
3605, 218, 48
3872, 1113, 48
4229, 326, 63
3550, 1421, 92
3905, 3640, 47
4302, 400, 49
4267, 776, 75
4376, 1351, 53
1940, 796, 74
3981, 3054, 71
4301, 268, 80
4023, 527, 85
2708, 2627, 0
3784, 1652, 9
3882, 2149, 37
3942, 791, 42
3925, 151, 26
3986, 80, 74
3898, 401, 25
3867, 1022, 51
3946, 2510, 76
3603, 457, 59
563, 683, 61
4000, 983, 75
3880, 2470, 36
3814, 389, 45
3722, 906, 72
4026, 1105, 65
2699, 418, 82
2841, 483, 46
2585, 2473, 37
2873, 242, 48
2905, 979, 47
2550, 176, 69
2550, 586, 36
3061, 406, 52
2872, 782, 62
2918, 3377, 80
2962, 555, 40
2915, 1144, 60
2942, 1009, 84
2923, 358, 91
3017, 618, 107
3134, 708, 107
3170, 96, 100
4401, 2486, 32
4510, 976, 73
4408, 629, 48
4609, 3108, 49
4593, 2441, 65
4006, 1074, 85
4035, 854, 50
4564, 1003, 77
4561, 2072, 76
3764, 2669, 52
4716, 267, 75
4640, 296, 73
4684, 497, 74
4652, 1534, 94
4681, 1979, 68
4702, 256, 116
1485, 411, 0
1286, 235, 0
1707, 561, 0
3136, 2800, 0
3985, 1304, 21
3941, 1588, 31
2375, 331, 47
3765, 2947, 28
4067, 399, 36
3774, 1905, 47
4020, 106, 28
1972, 702, 64
3829, 2003, 46
4033, 574, 44
2146, 284, 82
4129, 319, 30
4305, 3083, 43
4099, 436, 104
2644, 376, 115
4781, 1894, 15
4492, 2593, 28
5100, 1389, 28
4775, 605, 52
4376, 2950, 60
4623, 275, 60
4934, 170, 47
4889, 2034, 17
4821, 601, 53
4999, 164, 49
4946, 3467, 131
5055, 3393, 95
4745, 406, 87
5011, 1997, 64
5014, 2310, 86
3768, 184, 34
3585, 474, 38
3866, 520, 40
9011, 621, 177
3680, 570, 52
3850, 1372, 57
3867, 1095, 45
3991, 1951, 73
3962, 2039, 43
3801, 658, 117
3871, 1198, 57
3921, 1546, 61
3893, 842, 88
4174, 360, 126
3597, 3462, 119
3774, 2780, 132
4287, 487, 18
4351, 544, 26
4255, 260, 28
4477, 198, 36
3841, 2113, 46
4417, 2644, 41
4492, 2231, 60
3643, 424, 33
4292, 1260, 65
4212, 791, 115
4473, 339, 71
4592, 2878, 64
4396, 2657, 85
4553, 3365, 69
4500, 266, 122
4504, 1068, 103
3228, 423, 1
2892, 1797, 44
3171, 447, 40
3309, 467, 48
3061, 890, 28
3309, 719, 31
2753, 177, 44
3215, 937, 41
3170, 181, 36
3278, 1024, 46
3137, 444, 57
3303, 1066, 50
3188, 3690, 88
3346, 881, 134
3299, 1621, 107
3442, 1022, 107
5399, 1936, 25
5453, 1010, 40
5318, 818, 28
5438, 215, 54
5466, 844, 19
5609, 3518, 39
5242, 660, 43
5319, 2387, 35
5518, 170, 55
4883, 3258, 57
5536, 3366, 55
5536, 1737, 68
5249, 347, 68
5523, 932, 71
5575, 3771, 68
5546, 2226, 86
3272, 1737, 27
3647, 689, 31
3737, 1134, 27
3755, 617, 40
3801, 2964, 60
3710, 124, 68
3769, 483, 61
3757, 3001, 74
3850, 382, 112
3861, 1731, 85
3488, 559, 38
3826, 798, 101
3903, 325, 38
4006, 1088, 66
3492, 1329, 67
4000, 1478, 109
2849, 384, 0
4326, 1290, 20
4374, 696, 26
4479, 1923, 47
4417, 2559, 18
4632, 2726, 59
1281, 445, 49
4239, 463, 66
4439, 826, 52
4561, 800, 62
4546, 1816, 59
4178, 460, 45
4324, 1955, 61
4436, 237, 66
4430, 2012, 73
4662, 3006, 59
4610, 714, 71
4141, 555, 24
2905, 312, 40
4294, 3065, 65
4237, 811, 42
4264, 754, 83
4314, 1084, 61
4314, 457, 54
4318, 219, 48
4289, 544, 83
4375, 2637, 116
4099, 1922, 116
4512, 799, 88
4393, 292, 58
4424, 739, 103
4566, 3492, 124
2455, 351, 0
8721, 3062, 205
1174, 630, 34
4138, 2706, 29
4019, 235, 56
4143, 580, 42
4237, 325, 61
4109, 558, 66
4029, 1765, 78
4205, 189, 48
4051, 3169, 57
4096, 1749, 44
4052, 398, 48
4067, 1615, 75
3663, 564, 62
3972, 2988, 88
4176, 2407, 74
3838, 3175, 29
3914, 2369, 28
3992, 1514, 46
4022, 586, 50
3932, 683, 36
3916, 265, 33
3671, 2320, 39
3993, 582, 52
3944, 796, 46
4015, 820, 71
4077, 1412, 39
3995, 729, 94
3982, 1751, 70
3099, 1595, 66
4074, 309, 128
4060, 574, 130
62183, 1130, 0
62217, 419, 46
62170, 3442, 37
62155, 398, 45
62081, 457, 50
62141, 1961, 90
62082, 1336, 73
62235, 689, 83
62112, 1781, 63
62175, 493, 247
66738, 3144, 2
66768, 365, 17
4486, 589, 36
4517, 1193, 32
4516, 3775, 34
4532, 1398, 25
66913, 1665, 47
66233, 481, 50
3950, 889, 63
4578, 996, 71
66897, 3754, 88
66436, 793, 54
4586, 934, 60
4589, 624, 29
4629, 587, 85
4773, 3050, 93
2314, 493, 0
3528, 534, 23
3927, 1214, 51
3876, 2010, 51
3892, 596, 46
3851, 616, 43
3602, 1723, 40
3940, 1804, 70
3940, 1180, 73
4112, 972, 81
3760, 926, 53
3963, 1152, 73
3715, 570, 69
4168, 1157, 103
4117, 549, 87
4124, 793, 110
3868, 1785, 0
4943, 1643, 41
5066, 273, 30
5004, 205, 56
5057, 759, 46
538, 648, 46
4721, 322, 54
6702, 3192, 239
5118, 856, 63
4858, 2010, 46
4967, 2073, 63
4830, 2997, 74
5155, 553, 81
5301, 3793, 98
5133, 2980, 104
5230, 398, 122
5510, 3523, 168
2000, 327, 0
1505, 3541, 5
3527, 428, 20
3880, 465, 43
3603, 455, 32
3984, 437, 44
4025, 3628, 55
3872, 1047, 54
3932, 647, 37
3947, 319, 58
4056, 1273, 37
4030, 898, 49
4042, 301, 56
3676, 372, 81
3953, 2815, 114
4091, 1480, 84
4072, 841, 112
2228, 1425, 0
5023, 779, 48
4719, 593, 39
4779, 1450, 33
4689, 1080, 35
5164, 1505, 39
5089, 1718, 44
5075, 1786, 40
4612, 2019, 48
5119, 2041, 54
5120, 1906, 54
4938, 1007, 70
5155, 398, 81
4895, 2552, 78
4886, 1766, 58
4863, 2133, 79
2319, 1303, 104
2968, 3237, 0
3635, 110, 17
4221, 2339, 45
4538, 133, 28
4623, 294, 44
4561, 882, 44
4330, 447, 35
4006, 932, 70
4285, 1848, 88
4517, 442, 65
4701, 2051, 52
4657, 1123, 100
652, 1232, 65
4713, 763, 91
4628, 1943, 67
4212, 1257, 77
4615, 498, 101
1162, 2766, 86
2079, 3661, 0
4004, 1333, 13
4263, 601, 16
4373, 584, 33
4434, 1344, 62
4328, 386, 52
4450, 1021, 49
4035, 2499, 87
4344, 483, 27
4376, 165, 70
4066, 1013, 61
4326, 379, 58
4467, 3346, 73
4492, 933, 52
4430, 672, 87
2150, 2232, 129
4798, 800, 76
2801, 117, 0
3203, 447, 5
2938, 1025, 7
3158, 550, 32
3326, 829, 44
3328, 2107, 33
3236, 1097, 31
3388, 3708, 50
3407, 1454, 43
3285, 1156, 61
3397, 388, 52
3552, 492, 56
3138, 202, 93
3314, 1940, 84
3564, 379, 109
3629, 639, 104
425, 677, 0
3329, 253, 19
3305, 2188, 34
3509, 186, 34
3429, 1010, 46
3413, 735, 44
2563, 2381, 59
3198, 369, 38
3431, 876, 58
3492, 2363, 66
3028, 258, 58
3555, 516, 53
3583, 3009, 44
3082, 749, 52
3704, 360, 97
3594, 612, 54
2910, 466, 58
2297, 2824, 0
2927, 521, 11
2870, 1183, 31
2880, 313, 33
2775, 923, 31
2959, 1452, 39
3045, 824, 59
2578, 278, 44
2813, 1233, 51
2966, 204, 31
2902, 342, 43
2879, 1402, 50
2855, 881, 75
2239, 415, 46
3062, 481, 126
2152, 1254, 33
2122, 126, 23
2216, 490, 35
1860, 184, 40
2230, 767, 46
2326, 604, 41
2271, 175, 65
2103, 444, 45
1971, 1192, 49
1718, 327, 66
2356, 1828, 51
2369, 160, 88
2129, 1268, 83
2394, 1467, 80
1789, 221, 105
4990, 1112, 148
3070, 576, 29
3386, 313, 48
3002, 801, 31
3279, 1816, 42
3385, 889, 41
3325, 1932, 67
3590, 3224, 59
3606, 637, 56
3434, 757, 67
3204, 838, 96
3568, 397, 72
3248, 1340, 70
3670, 376, 102
3555, 617, 70
3661, 412, 47
3556, 1984, 168
841, 676, 0
5058, 3844, 13
4922, 1453, 23
5090, 664, 3
4956, 360, 41
5138, 3660, 43
4574, 1258, 53
5005, 857, 32
3998, 427, 66
5126, 3060, 39
5164, 1622, 73
5161, 552, 72
5174, 3075, 79
5171, 982, 50
5174, 1544, 72
5273, 527, 130
5440, 514, 182
4000, 528, 9
4245, 1027, 37
4231, 2164, 32
4108, 414, 46
4417, 2437, 29
4434, 577, 49
4361, 1994, 49
4329, 172, 54
4252, 1947, 45
4337, 1747, 73
4320, 529, 61
4327, 1026, 65
4094, 1457, 69
4169, 1163, 100
4330, 1013, 101
4381, 3140, 132
3938, 876, 0
4449, 3122, 21
4143, 2628, 24
4066, 2402, 13
4454, 199, 40
4576, 691, 31
4578, 1026, 55
4701, 339, 52
4620, 1581, 71
4556, 913, 68
4376, 2093, 116
4733, 3716, 100
4733, 1322, 80
4105, 386, 131
4662, 1033, 60
2479, 2937, 0
4074, 118, 5
8962, 300, 115
4333, 1142, 12
4348, 316, 31
4257, 614, 48
4151, 1799, 43
4167, 1524, 48
1396, 660, 44
4401, 1051, 98
3885, 3160, 48
4009, 747, 32
4513, 343, 66
4536, 432, 64
4296, 3658, 63
4445, 415, 59
4621, 2531, 165
1128, 401, 0
4095, 592, 38
4079, 192, 27
4153, 1907, 34
4153, 809, 30
3942, 1561, 33
4220, 1125, 39
2722, 1293, 22
4096, 1772, 33
4079, 2424, 56
4090, 1271, 71
3560, 390, 67
4343, 3991, 46
4201, 417, 73
3977, 387, 58
4282, 348, 35
4435, 1259, 92
3924, 1821, 3
4034, 614, 40
4304, 1161, 30
4378, 3244, 60
4424, 2864, 46
4441, 618, 43
4383, 352, 43
4364, 454, 62
4484, 778, 55
4058, 2044, 69
4499, 2828, 81
4473, 353, 68
4406, 924, 68
4463, 1870, 112
4633, 1275, 127
4431, 3468, 9
4341, 430, 11
4402, 1962, 25
4596, 320, 29
4258, 2237, 42
4612, 701, 39
4443, 107, 40
4342, 304, 70
3950, 641, 42
4433, 86, 39
4754, 3453, 43
4699, 3298, 58
4707, 2514, 106
4531, 526, 144
337, 571, 0
14019, 505, 142
4388, 2421, 15
4114, 3363, 29
4375, 91, 56
4345, 457, 21
4238, 2235, 49
4023, 699, 33
4498, 1801, 54
4451, 315, 37
4504, 1680, 77
4616, 391, 94
4389, 2815, 66
3481, 1200, 76
4643, 2047, 89
4266, 1920, 122
3070, 92, 0
3418, 1613, 29
13287, 2206, 204
3434, 1083, 51
3840, 432, 25
3840, 913, 44
3825, 3892, 57
3532, 1028, 34
3705, 690, 54
4151, 1031, 83
3903, 2461, 67
3929, 521, 53
423, 891, 37
4241, 2262, 121
